0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:39 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:39 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "POST /northwind/category-form?action=new HTTP/1.1" 200 4950
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:43 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/category-delete?categoryId=899 HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:36:47 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/categories-list HTTP/1.1" 200 4653
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:37:05 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
